docs\advanced-analytics\index.yml,Failed,Failed - Exception Occured - '"C:\Program Files\Git\cmd\git.exe" fetch' failed in directory 'C:\ol\2gc970c\0' with exit code 128: 
STDOUT:'
'
STDERR:
'remote: Repository not found.
fatal: repository 'https://4eb600a564be767550661bef00337403d54a292d@github.com/MicrosoftDocs/schemas/' not found

'
docs\advanced-analytics\install\media\2017setup-installation-page-mlsvr.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\media\ml-solution-development-process.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\python-tutorial-elbow-graph.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\media\index\logo_java.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\data-science-scenarios-and-solution-templates.md,Succeeded,Successful
docs\advanced-analytics\install\media\cumulative-update-feature-selection.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\media\2019offline-download-tile.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\upgrade-and-installation-faq-sql-server-r-services.md,Succeeded,Successful
docs\advanced-analytics\install\media\2017setup-features-page-mlsvr-rpy.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\remote-sqlcc-from-r2.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\quickstart-r-create-script.md,Succeeded,Successful
docs\advanced-analytics\package-management\r-package-information.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\select-rtestdata.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-devtut-tipamtfareamt.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\data-collection-ml-troubleshooting-process.md,Succeeded,Successful
docs\advanced-analytics\r\ref-r-olapr.md,Succeeded,Successful
docs\advanced-analytics\install\media\sql-15-failoverclusterinstall-sqlmls-small.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\ref-py-revoscalepy.md,Succeeded,Successful
docs\advanced-analytics\r\operationalizing-your-r-code.md,Succeeded,Successful
docs\advanced-analytics\install\sql-r-services-windows-install.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sqldev-py5-train-and-save-a-model-using-t-sql.md,Succeeded,Successful
docs\advanced-analytics\media\index\video.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\quickstart-r-train-score-model.md,Succeeded,Successful
docs\advanced-analytics\tutorials\python-clustering-model-build.md,Succeeded,Successful
docs\advanced-analytics\administration\media\dmv-resource-pools.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\jupyter-notebook-local-revo.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\2017setup-features-page-mls-rpy.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\r-data-generated-output.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\set-up-a-data-science-client.md,Succeeded,Successful
docs\advanced-analytics\security\media\implied-auth-login4.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\remote-sqlcc-from-python3.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\sqldev-python-sample-plot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\security\firewall-configuration.md,Succeeded,Successful
docs\advanced-analytics\real-time-scoring.md,Succeeded,Successful
docs\advanced-analytics\r\media\2016-setup-installation-rsvcs.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\media\2016-setup-installation-rsvcs.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-data-science-deep-dive-using-the-revoscaler-packages.md,Succeeded,Successful
docs\advanced-analytics\tutorials\demo-data-airlinedemo-in-sql.md,Succeeded,Successful
docs\advanced-analytics\machine-learning-troubleshooting-faq.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\r-predict-stopping-distance-resultset.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\save-and-load-r-objects-from-sql-server-using-odbc.md,Succeeded,Successful
docs\advanced-analytics\tutorials\use-python-revoscalepy-to-create-model.md,Succeeded,Successful
docs\advanced-analytics\python\setup-python-client-tools-sql.md,Succeeded,Successful
docs\advanced-analytics\r\ref-r-revoscaler.md,Succeeded,Successful
docs\advanced-analytics\install\media\2019setup-features-page-mlsvr-rpy.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\sqldev-python-newcolumn.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\sql-pretrained-models-install.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\train-score-using-python-NB-model-results.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\media\create-workflows-using-r-in-sql-server\ssis-exec-predictions.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\python-ski-rental-linear-regression.md,Succeeded,Successful
docs\advanced-analytics\package-management\install-python-packages-standard-tools.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-move-data-between-sql-server-and-xdf-file.md,Succeeded,Successful
docs\advanced-analytics\r\creating-multiple-models-using-rxexecby.md,Succeeded,Successful
docs\advanced-analytics\r\using-data-from-olap-cubes-in-r.md,Succeeded,Successful
docs\advanced-analytics\administration\media\dmv-active-sessions.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-basictut-hello1code.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\create-external-resource-pool.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sqldev-py4-create-data-features-using-t-sql.md,Succeeded,Successful
docs\advanced-analytics\r\sql-server-configuration-r-services.md,Succeeded,Successful
docs\advanced-analytics\install\media\2016setup-rsvcs-features.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-create-sql-server-data-objects-using-rxsqlserverdata.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-create-models.md,Succeeded,Successful
docs\advanced-analytics\install\upgrade-r-and-python.md,Succeeded,Successful
docs\advanced-analytics\python\media\ml-svcs-license-python.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\scale-concurrent-execution-external-scripts.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\quickstart-r-working-input-outputs-results-1.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\extended-events-predict-tsql.md,Succeeded,Successful
docs\advanced-analytics\r\creating-workflows-that-use-r-in-sql-server.md,Succeeded,Successful
docs\advanced-analytics\package-management\package-install-uninstall-and-sync.md,Succeeded,Successful
docs\advanced-analytics\r-script-execution-errors.md,Succeeded,Successful
docs\advanced-analytics\tutorials\quickstart-python-train-score-model.md,Succeeded,Successful
docs\advanced-analytics\r\how-to-create-a-stored-procedure-using-sqlrutils.md,Succeeded,Successful
docs\advanced-analytics\administration\media\dmv-installed-packages-python.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\media\2019setup-installation-page-mlsvcs.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\package-management\python-package-information.md,Succeeded,Successful
docs\advanced-analytics\tutorials\python-clustering-model-prepare-data.md,Succeeded,Successful
docs\advanced-analytics\security\media\implied-auth-login1.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-installed-packages.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\security\media\implied-auth-login5.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-e2e-rocplot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\concepts\extension-r.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-define-and-use-compute-contexts.md,Succeeded,Successful
docs\advanced-analytics\r\media\sqlmls-r-client-revo.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\walkthrough-view-and-summarize-data-using-r.md,Succeeded,Successful
docs\advanced-analytics\security\media\implied-auth-python2.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\sql-native-scoring.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sql-server-python-tutorials.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sqldev-train-and-save-a-model-using-t-sql.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sqldev-explore-and-visualize-the-data.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-query-and-modify-the-sql-server-data.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\python-output-pythontestdata.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\script-in-db-python2.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-score-new-data.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sql-server-r-tutorials.md,Succeeded,Successful
docs\advanced-analytics\r\r-libraries-and-data-types.md,Succeeded,Successful
docs\advanced-analytics\media\create-workflows-using-r-in-sql-server\ssis-exec-rxlinmod.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\sql-ml-cab-downloads.md,Succeeded,Successful
docs\advanced-analytics\r\media\2016-setup-installation-rsvr.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-basictut-hello1.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\demo-data-nyctaxi-in-sql.md,Succeeded,Successful
docs\advanced-analytics\tutorials\python-ski-rental-linear-regression-deploy-model.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\python-package-list.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\security\user-permission.md,Succeeded,Successful
docs\advanced-analytics\tutorials\python-clustering-model-deploy.md,Succeeded,Successful
docs\advanced-analytics\r\converting-r-code-for-use-in-sql-server.md,Succeeded,Successful
docs\advanced-analytics\administration\monitor-sql-server-machine-learning-services-using-custom-reports-management-studio.md,Succeeded,Successful
docs\advanced-analytics\install\media\2019setup-features-page-mls-rpy.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-create-new-sql-server-table-using-rxdatastep.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\r-output-rtestdata.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\walkthrough-create-graphs-and-plots-using-r.md,Succeeded,Successful
docs\advanced-analytics\install\media\2016-setup-installation-rsvr.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\2017setup-python-license.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\media\dmv-memory-configuration.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-devtut-tippedornot.jpg,Skipped,Skipped - No tranformation required
docs\advanced-analytics\media\generic-architecture-windows.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\sql-machine-learning-services-windows-install.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-basictut-listofmodels.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\sqldev-python-browsetables1.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\media\generic-architecture-linux.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\toc.yml,Failed,Failed - Exception Occured - '"C:\Program Files\Git\cmd\git.exe" fetch' failed in directory 'C:\ol\2gc970c\1' with exit code 128: 
STDOUT:'
'
STDERR:
'remote: Repository not found.
fatal: repository 'https://4eb600a564be767550661bef00337403d54a292d@github.com/MicrosoftDocs/schemas/' not found

'
